collaboration	L	mpi	Delta_mpi	mrho	Delta_mrho	meta	Delta_meta	mpi/mrho	Delta_mpi/mrho	mpi*L	Delta_mpi*L
SESAM/TχL	24	0.19875	0.00291666666666667	0.346254355400697	0.00934433219929693	0.308836589698046	0.0317495559502665	0.574	0.013	4.77	0.07
SESAM/TχL	24	0.277083333333333	0.0025	0.39358428030303	0.00451934855936639	0.329040852575488	0.0275310834813499	0.704	0.005	6.65	0.06
SESAM/TχL	16	0.28125	0.003125	0.40643063583815	0.0074086892553136	0.358237122557726	0.0320825932504442	0.692	0.01	4.5	0.05
SESAM/TχL	16	0.344375	0.0025	0.451343381389253	0.00483039618560116	0.406527531083481	0.0224245115452931	0.763	0.006	5.51	0.04
SESAM/TχL	16	0.399375	0.00375	0.491236162361624	0.00713076760507018	0.438055062166963	0.0353019538188277	0.813	0.009	6.39	0.06
SESAM/TχL	16	0.44625	0.0025	0.535071942446043	0.00356232526975538	0.475577264653641	0.0293072824156303	0.834	0.003	7.14	0.04
UKQCD1	12	0.477	0.005	0.711940298507463	0.0225241434018969	0.56	0.05	0.67	0.02	5.724	0.002385
UKQCD2	16	0.199	0.005	0.45	0.014	0.4	0.05	0.442222222222222	0.0176844573999734	3.184	0.000995
UKQCD2	16	0.282	0.004	0.491	0.007	0.48	0.08	0.574338085539715	0.0115504559973279	4.512	0.001128
CLQCD	12	0.3754	0.0025	0.5735	0.0095	0.514	0.022	0.654577157802964	0.01168649246644	4.5048	0.0009385
CLQCD	12	0.5595	0.002	0.694	0.006	0.856	0.021	0.806195965417867	0.00754227038227109	6.714	0.001119
CP-PACS	12	1.155	0.001	1.43122676579926	0.00216353117773169	1.199	0.027	0.807	0.001	13.86	0.001155
CP-PACS	12	0.984	0.001	1.30677290836653	0.00218525298543311	1.0355	0.0325	0.753	0.001	11.808	0.000984
CP-PACS	12	0.821	0.001	1.18299711815562	0.00370121522045382	0.929	0.023	0.694	0.002	9.852	0.000821
CP-PACS	12	0.532	0.002	0.972577696526508	0.00799689580053131	0.7615	0.0425	0.547	0.004	6.384	0.001064
CP-PACS	16	0.895	0.001	1.11318407960199	0.00186117983115905	0.959	0.014	0.804	0.001	14.32	0.000895
CP-PACS	16	0.729	0.001	0.969414893617021	0.00185206722046817	0.8345	0.0245	0.752	0.001	11.664	0.000729
CP-PACS	16	0.595	0.001	0.86231884057971	0.00191369871454356	0.754	0.12	0.69	0.001	9.52	0.000595
CP-PACS	16	0.427	0.001	0.733676975945017	0.00415386212113347	0.705	0.24	0.582	0.003	6.832	0.000427
CP-PACS	24	0.63	0.001	0.781637717121588	0.00157473326802109	0.6675	0.0225	0.806	0.001	15.12	0.00063
CP-PACS	24	0.516	0.001	0.683443708609271	0.00224321800908227	0.6	0.011	0.755	0.002	12.384	0.000516
CP-PACS	24	0.424	0.001	0.613603473227207	0.00303168525090058	0.522	0.018	0.691	0.003	10.176	0.000424
CP-PACS	24	0.295	0.001	0.512152777777778	0.00318267770306099	0.45	0.18	0.576	0.003	7.08	0.000295
DWF	16	0.2902	0.0028	0.5425	0.0064	0.477	0.04	0.5121	0.0036	4.6432	0.00081256
DWF	16	0.3575	0.0019	0.5946	0.0058	0.571	0.06	0.5984	0.0031	5.72	0.00067925
DWF	16	0.4094	0.0025	0.6323	0.007	0.497	0.017	0.6415	0.0033	6.5504	0.0010235
Beijing	16	348.5	1	830.5	6.3	714.1	5.4	0.419626730885009	0.00340332346012364	3.9	0.1
ETMC1	24	0.12094	0.01594	0.402	0.022	0.403	0.021	0.300845771144279	0.0429340232417202	2.90256	0.0019277836
ETMC1	32	0.176265	0.018265	0.419	0.00800000000000001	0.365	0.019	0.420680190930788	0.0443256899073115	5.64048	0.003219480225
ETMC1	24	0.118005	0.016005	0.4015	0.012	0.38	0.018	0.293910336239103	0.0408194193328901	2.83212	0.001888670025
ETMC1	32	0.0922	0.0122	0.359	0.042	0.302	0.024	0.256824512534819	0.0368724305798595	2.9504	0.00112484
ETMC1	32	0.1319	0.0119	0.3415	0.012	0.308	0.018	0.386237188872621	0.0373960175427444	4.2208	0.00156961
ETMC2	48	127.440334464342	8.85577513919105	673.5	157.5	779.376804424508	32.8201113947369	0.189220986584027	0.0461621768552266	2.7648	0.12
ETMC2	48	224.075996510384	21.6735770887421	815	6	811.760882170678	27.2297930451371	0.274939873018876	0.0266702648561006	4.6848	0.168
ETMC2	32	335.714939301969	14.8751565108351	865.95	3.75	854.939652498906	25.7480711594658	0.387683976328852	0.01725969345513	4.976	0.2048
